week,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,transmission_rate,case_fatality_rate,Country,people_fully_vaccinated
16,5061.0,3614385.5714285714,51.142857142857146,80464.28571428571,0.0038870826430929956,0.061921389466149244,Spain,0.034308669772895255
17,4674.0,3648091.285714286,39.42857142857143,80773.42857142857,0.003487532598876829,0.060368368145489446,Spain,0.038669628423360615
18,4378.571428571428,3679571.1428571427,28.571428571428573,81016.14285714286,0.0032038417080825225,0.05934403888150697,Spain,0.043856733748147615
19,4137.571428571428,3709994.4285714286,29.142857142857142,81204.57142857143,0.00298956339359811,0.058706156761197746,Spain,0.05233000565525815
20,3517.8571428571427,3736605.4285714286,21.571428571428573,81387.85714285714,0.0025199872571783958,0.05832433193332671,Spain,0.060939309611987
21,3336.8571428571427,3760335.285714286,19.428571428571427,81525.14285714286,0.002375604816888345,0.05805946625034209,Spain,0.06863755744114494
22,3821.4285714285716,3784887.285714286,14.714285714285714,81640.28571428571,0.0027090269382319056,0.05789180610625253,Spain,0.07899729072693185
23,9669.142857142857,3828673.1428571427,13.428571428571429,81744.0,0.006832463160497672,0.05778521492618442,Spain,0.09100881797791997
24,17918.85714285714,3926687.0,11.142857142857142,81825.71428571429,0.012632190704181421,0.0576984080785393,Spain,0.10363393528615605
25,24323.0,4077256.4285714286,21.571428571428573,81932.0,0.01710911747266915,0.05764012946156468,Spain,0.11433986495414582
26,26752.571428571428,4259041.285714285,38.42857142857143,82139.42857142857,0.018781298915101417,0.0576721758837888,Spain,0.12339202690333002
27,23345.714285714286,4435519.0,73.14285714285714,82558.57142857143,0.016345460676351457,0.05781290514004033,Spain,0.12965926056503976
28,17837.285714285714,4579195.857142857,95.0,83154.71428571429,0.012435903181881891,0.05798515708306357,Spain,0.13596288738959403
29,13557.857142857143,4688258.857142857,102.14285714285714,83841.0,0.009388292423580842,0.058078467462479556,Spain,0.1417012787421905
30,10167.714285714286,4769335.142857143,109.0,84617.85714285714,0.006969494489373342,0.05803951422640035,Spain,0.14956385701601704
31,7932.571428571428,4833602.571428572,87.85714285714286,85280.28571428571,0.005369077628780199,0.05774193136163169,Spain,0.15605334960167483
32,5155.714285714285,4878704.714285715,80.85714285714286,85871.57142857143,0.0034356639520685744,0.05724527508468565,Spain,0.16299206375164974
33,3527.8571428571427,4908441.285714285,61.142857142857146,86355.85714285714,0.0023102424387490203,0.05658301470428341,Spain,0.16788978350580966
34,2634.4285714285716,4929548.857142857,50.57142857142857,86741.0,0.0016920109067902964,0.0557627445876027,Spain,0.1716278825911358
35,2082.8571428571427,4945823.571428572,39.0,87060.28571428571,0.001311901404460436,0.05489407197807201,Spain,0.17334580919216466
36,1777.7142857142858,4959550.0,25.285714285714285,87265.71428571429,0.0010995438742107885,0.05401416959085429,Spain,0.17476501413021622
37,1506.2857142857142,4970793.285714285,23.0,87442.14285714286,0.0009153973233049709,0.0531869418023773,Spain,0.17567711658499907
38,1436.7142857142858,4980792.857142857,18.0,87577.85714285714,0.0008605104200742521,0.05250986286462482,Spain,0.1763258537245028
39,1741.0,4992198.571428572,17.428571428571427,87700.28571428571,0.001030775842718981,0.051957485999364304,Spain,0.17708741822968357
40,1848.7142857142858,5004667.428571428,14.714285714285714,87816.57142857143,0.0010836415003021998,0.051506845456432374,Spain,0.17748272065035609
41,2172.285714285714,5018180.428571428,13.142857142857142,87914.14285714286,0.0012612295781612981,0.051090695925509376,Spain,0.1778672839490078
42,3329.4285714285716,5037385.428571428,22.857142857142858,88037.42857142857,0.0019141891467078366,0.050663904740206954,Spain,0.17822911341096367
43,5404.857142857143,5067725.714285715,20.714285714285715,88195.28571428571,0.0030772957267721696,0.05025814317099635,Spain,0.17857726452263975
44,7896.857142857143,5114117.428571428,25.428571428571427,88354.85714285714,0.00445004323010423,0.04983600971295298,Spain,0.1787630161389565
45,11680.142857142857,5181950.0,33.285714285714285,88556.71428571429,0.006507120284905985,0.04938470403780772,Spain,0.17908912779472283
46,14769.285714285714,5272875.285714285,44.57142857142857,88838.14285714286,0.008121055564248473,0.048919320872629776,Spain,0.17940396289676402
47,29671.428571428572,5426098.0,57.0,89185.57142857143,0.016029447861077552,0.04827947386216331,Spain,0.17973933930438882
48,62145.28571428572,5738034.714285715,72.14285714285714,89663.14285714286,0.03230962764124275,0.0468631580860701,Spain,0.1800318686126845
49,106885.85714285714,6342193.142857143,87.42857142857143,90222.85714285714,0.051152703010759394,0.04355602227051077,Spain,0.18080952277676532
50,118001.14285714286,7148327.285714285,114.0,90939.42857142857,0.04989820870630145,0.03871119605352831,Spain,0.18110509119000842
51,137694.7142857143,8063461.142857143,158.14285714285714,91891.28571428571,0.052395000464814816,0.035091697794166564,Spain,0.18155231997659002
52,122450.57142857143,8967019.42857143,200.85714285714286,93185.28571428571,0.0433014979901501,0.03302263054969919,Spain,0.1818809713538617
53,95597.71428571429,9737960.285714285,211.57142857142858,94629.0,0.03225807204966768,0.03195508760952826,Spain,0.18210563207436445
54,59014.42857142857,10265133.0,211.0,96146.0,0.01922828785392718,0.031342360396544644,Spain,0.18228819714871758
55,37316.142857142855,10592921.0,173.0,97464.57142857143,0.011840805659527876,0.030935481165479572,Spain,0.18254678740708402
56,23432.571428571428,10798698.42857143,125.85714285714286,98491.85714285714,0.007298415009005449,0.030691856713325492,Spain,0.18479230548060457
57,16480.85714285714,10936489.285714285,111.85714285714286,99320.42857142857,0.005064696770197759,0.030534710567038433,Spain,0.18559228921859483
0,5957.142857142857,719996.7142857143,157.0,18311.0,0.00828103857633638,0.025431553368349298,Canada,0.0003555291577315292
1,4769.428571428572,756867.0,139.0,19386.714285714286,0.006305484683150265,0.025613766441254324,Canada,0.0007066180100769172
2,3851.8571428571427,786452.4285714285,115.42857142857143,20257.14285714286,0.004899532786059438,0.02575719301242773,Canada,0.0011189631762227137
3,3221.4285714285716,810812.1428571428,79.0,20923.85714285714,0.0039740932044064845,0.02580613310104159,Canada,0.0019167940141687266
4,2897.1428571428573,831414.8571428572,59.142857142857146,21391.14285714286,0.0034820635238805415,0.025728938577547468,Canada,0.0026484058440592317
5,2983.714285714286,852222.0,48.42857142857143,21768.0,0.0034999091069823117,0.025543155139440506,Canada,0.0033305275475310923
6,2898.4285714285716,872741.4285714285,39.57142857142857,22066.285714285714,0.003319880555843681,0.025284413462955076,Canada,0.0036050491170835225
7,3067.4285714285716,893515.0,30.285714285714285,22306.0,0.0034309748684365434,0.024965101587354373,Canada,0.0038108392368773627
8,3405.1428571428573,916204.1428571428,30.428571428571427,22524.571428571428,0.0037140165674302375,0.02458554524792474,Canada,0.004034465205197047
9,4226.571428571428,942846.7142857143,29.857142857142858,22735.0,0.004477468700862843,0.024114625887780093,Canada,0.004279695684597201
10,5454.428571428572,977095.7142857143,25.142857142857142,22931.571428571428,0.005574744234861849,0.023471571456232226,Canada,0.004556561785144835
11,7206.0,1022053.1428571428,35.57142857142857,23145.571428571428,0.007040460423943154,0.022649694735105506,Canada,0.00519393217550931
12,8683.42857142857,1079217.4285714286,41.42857142857143,23407.14285714286,0.008041869492670372,0.02169343311184972,Canada,0.0058291819158224215
13,8359.857142857143,1139157.0,48.857142857142854,23723.14285714286,0.007337686139783092,0.020828483720087363,Canada,0.006503959080553339
14,7834.857142857143,1195306.0,48.0,24069.428571428572,0.006552305193040912,0.02013905871769368,Canada,0.007224569649620198
15,7677.714285714285,1250032.0,44.285714285714285,24395.285714285714,0.006142279001281601,0.019517767104298176,Canada,0.008001249957288526
16,6461.428571428572,1299567.4285714286,48.57142857142857,24721.428571428572,0.004974463980172289,0.0190238969899454,Canada,0.009042949332226338
17,4817.428571428572,1338066.0,41.857142857142854,25028.0,0.0036014752043834405,0.018705090930660067,Canada,0.010612298778302168
18,3164.8571428571427,1365216.2857142857,39.714285714285715,25319.285714285714,0.002318838095748549,0.01854607655987311,Canada,0.012897252566784012
19,2176.1428571428573,1383247.4285714286,34.142857142857146,25576.85714285714,0.0015735105912681943,0.018490467733933175,Canada,0.01807506531433691
20,1458.2857142857142,1395440.0,29.571428571428573,25798.571428571428,0.0010451111092492635,0.018487750956719284,Canada,0.0290644231344698
21,1079.0,1404168.2857142857,19.571428571428573,25971.0,0.0007684979909016568,0.018495645659163524,Canada,0.04461901190740618
22,708.1428571428571,1410222.5714285714,24.857142857142858,26133.714285714286,0.0005021914549953003,0.01853160454964722,Canada,0.06265370402487078
23,584.4285714285714,1414618.5714285714,20.142857142857142,26271.714285714286,0.000413145301396084,0.018571576215138715,Canada,0.08290488589440821
24,521.0,1418163.0,11.571428571428571,26381.14285714286,0.00036730924029129854,0.018602333366561426,Canada,0.10213480374404826
25,382.42857142857144,1421440.2857142857,10.0,26453.0,0.0002690307695537225,0.018609995573485322,Canada,0.11743394436006427
26,438.57142857142856,1424246.7142857143,7.142857142857143,26511.428571428572,0.00030789380508836485,0.018614352572880386,Canada,0.13032519567377038
27,681.7142857142857,1428029.142857143,7.571428571428571,26563.0,0.0004772211821305417,0.01860117101705153,Canada,0.13999928404342435
28,1031.142857142857,1434067.142857143,8.857142857142858,26616.428571428572,0.0007187384706132151,0.018560121130730974,Canada,0.14586294984351308
29,1735.7142857142858,1443582.4285714286,6.285714285714286,26681.571428571428,0.001201272966970385,0.0184830067822315,Canada,0.150679841633937
30,2287.8571428571427,1457939.857142857,13.0,26736.85714285714,0.001567878570576953,0.018338932625538436,Canada,0.15476864771933588
31,2938.5714285714284,1476931.857142857,14.428571428571429,26836.85714285714,0.0019886895598215013,0.018170871449595005,Canada,0.1579024647631288
32,3539.4285714285716,1500082.4285714286,16.571428571428573,26944.0,0.0023586746557042004,0.017961939246253982,Canada,0.16035420363585565
33,3840.1428571428573,1526205.142857143,23.428571428571427,27077.0,0.002515538635264338,0.01774163409724986,Canada,0.1623116631359067
34,4441.857142857143,1555574.2857142857,28.571428571428573,27269.714285714286,0.0028549795185996646,0.017530639616496858,Canada,0.16435201455541415
35,4231.571428571428,1586004.4285714286,35.714285714285715,27491.285714285714,0.002667942098605776,0.017333866370140057,Canada,0.16673488516225005
36,4333.571428571428,1615641.5714285714,43.0,27758.0,0.0026803815800063085,0.017180916596676223,Canada,0.1687953609910426
37,3747.8571428571427,1644080.4285714286,37.857142857142854,28055.428571428572,0.0022795351109291683,0.017064606079077577,Canada,0.17073747220861046
38,3067.0,1667853.5714285714,40.285714285714285,28310.14285714286,0.0018391027437286683,0.0169739956095606,Canada,0.172444607937789
39,2724.0,1687937.5714285714,37.285714285714285,28597.285714285714,0.0016139852108757295,0.016942153917896403,Canada,0.17420897634269397
40,2316.285714285714,1704959.857142857,31.857142857142858,28842.85714285714,0.001358373530426985,0.016917031680411598,Canada,0.1758712115048026
41,2222.5714285714284,1720756.4285714286,25.714285714285715,29050.85714285714,0.0012914252421503973,0.016882626756807843,Canada,0.17710735147946463
